Business Name,Price,Address,Rating,Image URL
"Black Sheep Brasserie","$$$","1202 Lincoln Ave","3.8","https://s3-media4.fl.yelpcdn.com/bphoto/dLAh6wG4TeNHbJueQ9J0Lw/o.jpg"
"Élyse Restaurant","$$","96 S 1st St","4.4","https://s3-media3.fl.yelpcdn.com/bphoto/-ryDQxwnP0xogwMN1C89Hg/o.jpg"
"Le Papillon","$$$$","410 Saratoga Ave","4.2","https://s3-media4.fl.yelpcdn.com/bphoto/-jN6_fShA1YMxt_MKSv0Uw/o.jpg"
"La Foret","$$$$","21747 Bertram Rd","4.1","https://s3-media2.fl.yelpcdn.com/bphoto/TGZtYDrwJvZQIuEqksvJWw/o.jpg"
"Gary Danko","$$$$","800 N Point St","4.5","https://s3-media1.fl.yelpcdn.com/bphoto/Rqsfo-yDIBrYC6QHSlcw5A/o.jpg"
"Elements Restaurant","$$","6471-10 Almaden Expy","4.2","https://s3-media3.fl.yelpcdn.com/bphoto/jy2qGg18Avb98SdQQxUOXA/o.jpg"
"Left Bank - San Jose","$$$","377 Santana Row","3.3","https://s3-media3.fl.yelpcdn.com/bphoto/-lTHj3G0iazsUH6hv5FE_g/o.jpg"
"Chapeau","$$$","126 Clement St","4.3","https://s3-media1.fl.yelpcdn.com/bphoto/1ys04UnUlTEVd05fpN-QIg/o.jpg"
"O' by Claude Le Tohic","$$$$","165 O'Farrell St","4.6","https://s3-media1.fl.yelpcdn.com/bphoto/WUdB5XJC4dg5XdhbqnAI6w/o.jpg"
"Absinthe Brasserie & Bar","$$$","398 Hayes St","3.9","https://s3-media1.fl.yelpcdn.com/bphoto/gTGYj0mBM3Sk4eJKLfd9dw/o.jpg"
"Chez Panisse","$$$$","1517 Shattuck Ave","4.1","https://s3-media2.fl.yelpcdn.com/bphoto/EZj90yLxf9TqptPlCjixkQ/o.jpg"
"Chez Maman East","$$","1401 18th St","4.4","https://s3-media4.fl.yelpcdn.com/bphoto/gccHe5ofFMpNyh8vmS0VSw/o.jpg"
"Quince","$$$$","470 Pacific Ave","4.1","https://s3-media1.fl.yelpcdn.com/bphoto/P9tHylcM-ciRNHN_gDp0yw/o.jpg"
"Atelier Crenn","$$$$","3127 Fillmore St","4.3","https://s3-media4.fl.yelpcdn.com/bphoto/3DcETqyWL5bcqKoIIe-tOg/o.jpg"
"Zazie","$$","941 Cole St","4.2","https://s3-media1.fl.yelpcdn.com/bphoto/cM2e5dh7_dTPg0BirdEIjQ/o.jpg"
"Bistro Central Parc","$$","560 Central Ave","4.3","https://s3-media2.fl.yelpcdn.com/bphoto/tInuQLyrK9OjaIyQIosqjA/o.jpg"
"The Barrel Bistro And Wine Bar","N/A","246 S B St","4.5","https://s3-media2.fl.yelpcdn.com/bphoto/oB1DL1-xH1o0zy9C1sK5YA/o.jpg"
"Bouche","$$$","603 Bush St","4.3","https://s3-media3.fl.yelpcdn.com/bphoto/w6wJmlYFEaxpdHFoi22HoQ/o.jpg"
"Plumed Horse","$$$$","14555 Big Basin Way","3.9","https://s3-media4.fl.yelpcdn.com/bphoto/-UVJuy7yXPYJqTOwCFS5bA/o.jpg"
"Routier","$$$$","2801 California St","4.4","https://s3-media2.fl.yelpcdn.com/bphoto/jWVSQRDCcr4BqpYU0HJcng/o.jpg"
