Business Name,Price,Address,Rating,Image URL
"Mizu Sushi Bar & Grill","$$$","1035 S Winchester Blvd","3.9","https://s3-media3.fl.yelpcdn.com/bphoto/nvj_LEnUxrc39HCRexva0A/o.jpg"
"Cha Cha Sushi","$$","547 W Capitol Expy","4","https://s3-media4.fl.yelpcdn.com/bphoto/aFHl68Bsr8HA86AGPJJGqw/o.jpg"
"Sushi Koya","$$$","2424 Almaden Rd","4.3","https://s3-media3.fl.yelpcdn.com/bphoto/eKwgOgGPnsJJ3bq3ey-hrQ/o.jpg"
"Udon Mugizo - San Jose","$$","1072 Saratoga Ave","4.4","https://s3-media3.fl.yelpcdn.com/bphoto/K0v-v0iRHlq6l6lhNFog2Q/o.jpg"
"Ozumo","$$$","355 Santana Row","4.1","https://s3-media3.fl.yelpcdn.com/bphoto/ZT-mhdrsQLpl4XO39PH-TQ/o.jpg"
"Izakaya","$$","1335 N 1st St","3.9","https://s3-media3.fl.yelpcdn.com/bphoto/wzaxnNBr1WrJbEtDAi8v_Q/o.jpg"
"Kumako Ramen Den","$$","487 Saratoga Ave","4.6","https://s3-media2.fl.yelpcdn.com/bphoto/P5ykHrRzCRkqn7oB3sDiCw/o.jpg"
"Mitsuwa Marketplace","$$","675 Saratoga Ave","4.1","https://s3-media2.fl.yelpcdn.com/bphoto/tI-CjudU4JjqoO3xH0Z5PQ/o.jpg"
"Dan Izakaya Restaurant","$$","1306 Saratoga Ave","3.8","https://s3-media1.fl.yelpcdn.com/bphoto/WRzAbsjHNqXeqnjRMUIeSg/o.jpg"
"Yuki Sushi","$$","1140 Lincoln Ave","3.8","https://s3-media1.fl.yelpcdn.com/bphoto/MHhpgjlfIgifclvtal1aEA/o.jpg"
"Hokkaido Ramen Santouka","$$","675 Saratoga Ave","4","https://s3-media1.fl.yelpcdn.com/bphoto/KT6Y_3bCg8AN9V3ie3Lfqw/o.jpg"
"Ramen Nagi","$$","2855 Stevens Creek Blvd","4.4","https://s3-media3.fl.yelpcdn.com/bphoto/Bwfvt1DVGg2O2TxM_v8Bpw/o.jpg"
"Gyu-Kaku Japanese BBQ","$$$","28 N Almaden Ave","3.8","https://s3-media4.fl.yelpcdn.com/bphoto/R071Ln8sDs76x9xbSDXnWQ/o.jpg"
"Gombei","$$","193 Jackson St","3.9","https://s3-media1.fl.yelpcdn.com/bphoto/K9HNQd9zPZsyYnRdhFWWFw/o.jpg"
"Shuei-Do Manju Shop","$","217 Jackson St","4.7","https://s3-media4.fl.yelpcdn.com/bphoto/6h69VerOGziKak05bGg3tA/o.jpg"
"Fuji Sushi","$$","56 W Santa Clara St","4","https://s3-media3.fl.yelpcdn.com/bphoto/gfTewuEVATlPv6cVPY_-7w/o.jpg"
"Enjoy Seoul","$$","979 Story Rd","4","https://s3-media3.fl.yelpcdn.com/bphoto/VgTkcXkf0u4lyYx0GLNscg/o.jpg"
"Sanraku Oakridge","$$","925 Blossom Hill Rd","4.1","https://s3-media1.fl.yelpcdn.com/bphoto/vQC1k5S0E14737vfysAE9Q/o.jpg"
"Gaku Yakitori","$$$","5152 Moorpark Ave","4","https://s3-media2.fl.yelpcdn.com/bphoto/DBkVgl-lZm_8V-cusgj_XA/o.jpg"
"Ramen Champ","$$","6229 Santa Teresa Blvd","4.4","https://s3-media1.fl.yelpcdn.com/bphoto/vtRinIqmzbAgDZS7GRuHng/o.jpg"
