Business Name	Price	Address	Rating	Image URL
The Table	$$	1110 Willow St	3.9	https://s3-media2.fl.yelpcdn.com/bphoto/HUCmIVeNjEOJCps4fR-LOQ/o.jpg
King's Fish House - San Jose	$$$	2855 Stevens Creek Blvd	4.2	https://s3-media3.fl.yelpcdn.com/bphoto/CwJIeZ4L_JWpSdpokmOzpg/o.jpg
LUNA Mexican Kitchen - The Alameda	$$	1495 The Alameda	4.3	https://s3-media1.fl.yelpcdn.com/bphoto/JjzG0auXHdUing7hHn7keQ/o.jpg
Paper Plane	$$	72 S 1st St	4.1	https://s3-media2.fl.yelpcdn.com/bphoto/CEzLkgkl5Tq3wynCVNGVXw/o.jpg
Firehouse No.1 Gastropub	$$$	69 N San Pedro St	3.9	https://s3-media1.fl.yelpcdn.com/bphoto/DZuE_RmnZ75_7RhNX2UCiA/o.jpg
Black Sheep Brasserie	$$$	1202 Lincoln Ave	3.8	https://s3-media4.fl.yelpcdn.com/bphoto/dLAh6wG4TeNHbJueQ9J0Lw/o.jpg
Orchard City Kitchen	$$	1875 S Bascom Ave	4	https://s3-media4.fl.yelpcdn.com/bphoto/BLqbvUNV1yZ123IOAGZFdw/o.jpg
Jackie's Place	$$	840 North 1st St	4.4	https://s3-media3.fl.yelpcdn.com/bphoto/HAGJsU8qOir5qvMjr8vO3Q/o.jpg
Paesano Ristorante Italiano	$$	350 W Julian St	4.1	https://s3-media4.fl.yelpcdn.com/bphoto/oDYRK0KAZ7Le47ZhDDt0ag/o.jpg
Gen Korean BBQ House	$$	1628 Hostetter Rd	4.2	https://s3-media4.fl.yelpcdn.com/bphoto/PjnpdWprvYciexvMbmrIHw/o.jpg
Mariscos Costa Alegre	$$	855 N 13th St	4.6	https://s3-media1.fl.yelpcdn.com/bphoto/kEJYTWSoboPibwp9a1PuTw/o.jpg
The Funny Farm	$$	4898 San Felipe Rd	4.5	https://s3-media3.fl.yelpcdn.com/bphoto/znmTYAaJc3HXHR51JCe7Qw/o.jpg
The Grandview Restaurant	$$$$	15005 Mount Hamilton Rd	3.9	https://s3-media3.fl.yelpcdn.com/bphoto/gsy_3gmpd7f_Y-Rey8RAbw/o.jpg
Fogo De Chao	$$$	377 Santana Row	4.1	https://s3-media3.fl.yelpcdn.com/bphoto/_OJy_PtmAnw8gmwP1o6BnA/o.jpg
Mizu Sushi Bar & Grill	$$$	1035 S Winchester Blvd	3.9	https://s3-media3.fl.yelpcdn.com/bphoto/nvj_LEnUxrc39HCRexva0A/o.jpg
Cha Cha Sushi	$$	547 W Capitol Expy	4	https://s3-media4.fl.yelpcdn.com/bphoto/aFHl68Bsr8HA86AGPJJGqw/o.jpg
Élyse Restaurant	$$	96 S 1st St	4.4	https://s3-media3.fl.yelpcdn.com/bphoto/-ryDQxwnP0xogwMN1C89Hg/o.jpg
Goodtime Bar	$$	30 Fountain Alley	4.8	https://s3-media2.fl.yelpcdn.com/bphoto/lEEjBtL6qaBCYS_BC2CrnA/o.jpg
Añejo Cantina & Kitchen	$$	3132 Williams Rd	4.4	https://s3-media1.fl.yelpcdn.com/bphoto/Xwvvk5Mni3QsEmsXGZcRkw/o.jpg
Bun Bo Hue An Nam	$$	740 Story Rd	4.1	https://s3-media4.fl.yelpcdn.com/bphoto/KWtWJ4Z0_o_qbrKuhF_4iw/o.jpg
