Business Name	Price	Address	Rating	Image URL
Serious Dumpling 正经生煎	$$	49 North San Pedro St	4.1	https://s3-media2.fl.yelpcdn.com/bphoto/1tNYt0LownSmbwdKZz-Ajg/o.jpg
Skewers & Brew	$	65 S 1st St	4.3	https://s3-media3.fl.yelpcdn.com/bphoto/r3fTnriBhi_XhDTTIiTvug/o.jpg
Urban Momo	$$	100 N Almaden Ave	4.2	https://s3-media2.fl.yelpcdn.com/bphoto/iyDdCOxsiJlcRK0fH-vO8Q/o.jpg
Din Tai Fung	$$	2855 Stevens Creek Blvd	3.7	https://s3-media2.fl.yelpcdn.com/bphoto/qrw2z3p8wmM7b9k--gVK_Q/o.jpg
Home Eat	$$	88 S 4th St	4.5	https://s3-media1.fl.yelpcdn.com/bphoto/nQLj5jML6055ICGRrEcjtQ/o.jpg
Dough Zone - South San Jose	$$	5130 Cherry Ave	4.3	https://s3-media2.fl.yelpcdn.com/bphoto/oXv1XhGcdM6gneKB4ED8bw/o.jpg
China Chen	$$	400 S 3rd St	4	https://s3-media4.fl.yelpcdn.com/bphoto/dEkntJHJfumGS7_tJAjt6A/o.jpg
Great Wall Chinese Restaurant	$$	1455 Bird Ave	4	https://s3-media3.fl.yelpcdn.com/bphoto/aDwDCmFBo4VRpqLLIOvwJA/o.jpg
New Tung Kee Noodle	$$	1098 E Brokaw Rd	4.2	https://s3-media3.fl.yelpcdn.com/bphoto/H1fsvtqKUbdkRkwWihlnrA/o.jpg
Sweet Mango	$$	1040 Willow St	3.9	https://s3-media4.fl.yelpcdn.com/bphoto/_L_EZ_PSK0GsBsdu7MpGXw/o.jpg
575 Miishien	$$	840 El Paseo De Saratoga	4.3	https://s3-media3.fl.yelpcdn.com/bphoto/C8wKK5BPlmg7PEk993orZw/o.jpg
Pho Kim Long	$$	2082 N Capitol Ave	3.7	https://s3-media1.fl.yelpcdn.com/bphoto/ibXLVEOFCmy-YHBPb-rFCw/o.jpg
Nam Vang Restaurant	$$	2477 Alvin Ave	3.7	https://s3-media4.fl.yelpcdn.com/bphoto/dMuz6Z_FD_nW3yBsISr7Pg/o.jpg
Hunan Taste Restaurant	$$	998 N 4th St	3.8	https://s3-media1.fl.yelpcdn.com/bphoto/IYPp06MgFrPe2rbC_xT-8g/o.jpg
China Delight Restaurant	$$	5813 Cottle Rd	4	https://s3-media4.fl.yelpcdn.com/bphoto/4BPT4Vdz4YQFq7vWlCfE1A/o.jpg
Dumpling Time	$$	378 Santana Row	3.6	https://s3-media3.fl.yelpcdn.com/bphoto/kbSrwIJH8HtmE7sHZlSyCg/o.jpg
Haidilao Hotpot Cupertino	$$$	19409 Stevens Creek Blvd	4.5	https://s3-media4.fl.yelpcdn.com/bphoto/PK4NjghpfYoOoamhzpTPHA/o.jpg
Jade Cathay	$$	1339 N 1st St	3.5	https://s3-media1.fl.yelpcdn.com/bphoto/c5db13W7VM3kC4iB5ZR5SQ/o.jpg
Jade China	$$	2524 Berryessa Rd	3.8	https://s3-media3.fl.yelpcdn.com/bphoto/9w75P6q4tzNUuK0m34a40A/o.jpg
Taiwan Restaurant	$$	1306 Lincoln Ave	3.6	https://s3-media1.fl.yelpcdn.com/bphoto/eILym0hIiBH6s6z85Z458A/o.jpg
